p,d,q,aic,test_mape
2.0,0.0,10.0,1208.8474335344645,20.80576353909605
7.0,7.0,4.0,1383.1499950453626,47325.09852793864
6.0,20.0,6.0,3015.0491753056795,8.915832225998544e+16
6.0,3.0,20.0,1040.205858034599,61.892485245595985
4.0,10.0,4.0,1763.745630191644,37180641.257152416
1.0,0.0,15.0,1173.532905572998,19.46027476961272
4.0,1.0,12.0,1109.78582357392,17.67873225658847
1.0,8.0,2.0,1859.695379406322,16234802.03053451
3.0,0.0,7.0,1231.2226204322656,20.3588833002575
12.0,5.0,2.0,1361.4368096126202,2083.441257915106
10.0,9.0,9.0,1507.0268622518136,1442556.3526000627
1.0,7.0,7.0,1451.7501058153343,237804.18812451875
12.0,2.0,10.0,1098.690631030208,16.918300795653533
8.0,2.0,2.0,1152.8632192108748,7.396896868823219
15.0,10.0,1.0,3066.1167573764374,2.4767539797502595e+23
2.0,6.0,5.0,1388.642037803434,18896.87765539349
20.0,15.0,9.0,2043.7618818673282,4665317103738.534
3.0,2.0,6.0,1159.814944700624,8.057393184090088
9.0,4.0,15.0,1128.583883652876,65.9823875961125
6.0,12.0,3.0,1936.6354385032885,6651383570.275801
4.0,7.0,2.0,1609.0788042236786,628827.7688934108
5.0,2.0,2.0,1167.7617516495795,8.1915006837273
3.0,2.0,8.0,1144.206313313679,9.028449880598046
12.0,8.0,4.0,1446.8856156663724,253152.8352805705
3.0,5.0,8.0,1252.6655521663206,4719.091987250344
7.0,1.0,7.0,1153.6916997234407,9.951774734173291
6.0,15.0,9.0,2536.3533883145683,15360004016586.959
8.0,15.0,5.0,2346.449551058619,8715874137041.994
9.0,20.0,2.0,5252.799702060594,4.0795075242627006e+23
1.0,6.0,5.0,1428.865289773461,41665.79819734411
3.0,9.0,20.0,1708.7300169979576,439440959.9825473
6.0,3.0,2.0,1190.6091869659376,82.95655028914578
15.0,10.0,8.0,1580.4333804934186,129727832.12311037
3.0,15.0,4.0,2463.6626055989873,98423400754.59195
8.0,9.0,9.0,1536.3337830705495,84124.58285763176
5.0,15.0,10.0,2369.161697792537,58213444500.680626
15.0,15.0,1.0,28839.923154397136,5.652454147341106e+41
4.0,3.0,0.0,1266.3920912887836,1650.7394829640114
9.0,4.0,20.0,1088.2185193965452,13.509651775509768
6.0,6.0,2.0,1417.2776365909513,29395.322390618952
2.0,1.0,15.0,1074.710152943832,15.615893093997846
10.0,15.0,1.0,7608.983626597307,3.582109349660183e+26
6.0,6.0,9.0,1296.64144554508,18376.291660721992
9.0,5.0,8.0,1230.1113946077198,5247.337980628972
2.0,2.0,2.0,1185.913039630791,7.389793155609417
15.0,4.0,15.0,1124.5300393809052,19.145951278479725
2.0,5.0,15.0,1228.4151364835966,335.84845723446267
0.0,6.0,12.0,1345.812702391243,17786.026232110198
15.0,6.0,2.0,1548.954380241844,358417500.4823575
4.0,10.0,1.0,1950.364984351727,733314147.6404196
1.0,1.0,7.0,1146.5873066635243,11.602758183534089
20.0,1.0,20.0,1025.5611416645836,15.87965721805021
9.0,20.0,12.0,2888.166528058084,1.835601124463672e+16
5.0,3.0,4.0,1221.6481101404208,288.22390902371774
2.0,5.0,8.0,1258.8665830588666,3213.315098630038
6.0,1.0,3.0,1162.415860195256,9.872905897179765
4.0,20.0,1.0,3604.899239200159,4.0639253075711094e+18
20.0,3.0,10.0,1513.8918189815722,3.718179336378397e+26
12.0,20.0,3.0,4910.739118918059,1.4861566202679686e+22
5.0,7.0,4.0,1443.636393799306,79205.09998353511
0.0,1.0,6.0,1139.5101117025117,10.82131060200527
2.0,6.0,6.0,1375.2956876378244,30007.519357392084
20.0,8.0,3.0,2371.166146574907,1.0674390869816178e+22
3.0,15.0,1.0,2674.5552229047216,13089196289339.64
7.0,4.0,8.0,1185.4011206653358,38.087172795667556
6.0,5.0,0.0,1364.2655064955338,30865.4203830126
10.0,5.0,4.0,1251.228537969071,3203.7664403753474
5.0,7.0,5.0,1450.9346346133734,105857.38145039865
12.0,9.0,12.0,1566.7677631308657,23880160.747006062
0.0,15.0,5.0,3010.3029852476348,291322914058.5006
7.0,20.0,9.0,2975.0173532289123,2.820135769981798e+16
10.0,20.0,15.0,2950.2632680723814,7123720018990608.0
9.0,8.0,4.0,1504.703331960745,646875.6869078262
2.0,4.0,0.0,1417.400690658425,13527.292242015084
3.0,12.0,3.0,2082.8271930363067,1074972704.2428439
1.0,3.0,5.0,1182.1023105956508,20.03384817375936
15.0,4.0,10.0,1117.1138383114167,28.98152410019661
3.0,8.0,3.0,1637.4517949298142,3213467.6819425365
10.0,10.0,0.0,1708.1898802851551,826700668.6683216
9.0,7.0,8.0,1341.808338333483,56870.71211209865
6.0,2.0,0.0,1176.3617912172558,82.23160313109949
6.0,3.0,20.0,1040.205858034599,61.892485245595985
12.0,8.0,7.0,1383.1657702932707,77972.38264370293
10.0,0.0,10.0,1209.6526956591727,18.921252664838626
6.0,3.0,15.0,1099.7364047293067,261.585777113878
2.0,15.0,9.0,2583.5351251007805,470606993286.4341
7.0,20.0,12.0,3257.1165654608485,5.723251610910276e+17
1.0,9.0,2.0,2014.8647374019597,143606042.52253127
3.0,1.0,10.0,1125.391459996563,11.344615377635776
12.0,5.0,6.0,1552.2662937564785,4399.057167202225
8.0,0.0,6.0,1226.984886460055,19.923844709409085
5.0,1.0,15.0,1077.6417981182399,15.252597066285864
8.0,1.0,6.0,1148.145325391553,7.117879485960704
0.0,9.0,5.0,1876.542332305118,4677894.589095988
10.0,7.0,9.0,1317.6938030136698,49981.54054093179
4.0,1.0,0.0,1171.7314458095384,9.811352106317898
4.0,8.0,5.0,1554.093825918103,319388.3574391273
8.0,9.0,2.0,1966.9520439850135,781920354.6856465
1.0,10.0,10.0,1943.5709132069296,26138320.438371766
0.0,7.0,0.0,2578.904330277122,88921634.32628474
15.0,20.0,12.0,2616.7555790664146,7720032322279250.0
3.0,5.0,6.0,1299.7192764076087,5376.607228383872
9.0,12.0,15.0,1850.4765753215402,758795885.6235766
7.0,4.0,5.0,1203.624084549498,185.6083486885906
15.0,20.0,0.0,2404.497351385524,1235202982939562.0
8.0,20.0,1.0,7806.345219005255,7.725667820679998e+25
4.0,0.0,15.0,1174.413378402914,19.940216155389983
15.0,8.0,8.0,1611.9369843865047,4854057.90708296
8.0,12.0,3.0,2076.0400208256783,29381865095.84961
3.0,6.0,8.0,1308.5447653951555,10998.401976938825
1.0,3.0,15.0,1117.8324239783437,68.39600581364671
3.0,10.0,20.0,1945.1297168153103,2240707195.0069256
3.0,20.0,6.0,3296.724539041529,1.0001880907440436e+16
6.0,3.0,1.0,1186.8799126431936,91.75398548154408
0.0,3.0,12.0,1135.901209006167,46.7782530233013
5.0,7.0,6.0,1432.7397125788373,75408.2320246671
4.0,0.0,10.0,1211.5062726896222,19.658518011424665
10.0,9.0,0.0,1621.1797245726998,97650464.39220992
6.0,1.0,15.0,1081.167059672945,15.306973214098669
12.0,6.0,6.0,1266.3928284126814,46063.48520199448
15.0,12.0,15.0,1761.2962215942725,5244958030.944384
4.0,12.0,9.0,1881.2996824250247,3764302780.3790264
6.0,2.0,3.0,1167.9606686738393,7.961948670893302
20.0,3.0,2.0,1107.1786515861031,19.65272201696175
7.0,10.0,5.0,1665.160809325117,27002991.441703886
7.0,0.0,4.0,1241.4985485729562,22.030309086484287
4.0,9.0,6.0,1641.4400928406899,3676041.166676931
8.0,6.0,7.0,1307.858234307188,14546.951883322376
15.0,1.0,7.0,1103.7591949281225,14.605946560847439
0.0,10.0,2.0,2213.7942366039797,807816354.9813027
20.0,1.0,10.0,1034.618410111081,14.69839710536962
9.0,1.0,3.0,1137.5318956218703,14.685307934459313
4.0,10.0,6.0,1742.2908653650961,43470159.68256056
12.0,0.0,7.0,1198.6481783966408,22.25587100337298
5.0,15.0,8.0,2540.3334516045516,5542283544282.627
9.0,1.0,15.0,1083.1454236378577,16.436517866792958
2.0,5.0,12.0,1213.468558271772,3121.8719743893516
3.0,4.0,5.0,1238.7532853666185,21.201626792398528
5.0,9.0,5.0,1644.6773243265545,3714472.6308982666
15.0,15.0,0.0,1944.3446560281877,59985240608.24746
8.0,8.0,9.0,1407.5739698816724,316071.2064011453
10.0,7.0,10.0,1331.809584449823,56308.971652328924
6.0,9.0,2.0,1736.8134327728217,6510369.469508687
20.0,20.0,10.0,2415.050172821958,1049111757110081.6
15.0,9.0,12.0,1511.283325354767,13081600.257297132
5.0,0.0,5.0,1236.9054934916835,22.905426358606427
2.0,3.0,9.0,1159.207013220965,22.061700368900787
